Nome,Evento Generale,Warning Generale,Evento Specifico,Warning Specifico,Evento Specifico Vecchio
Peso/SP Kg 6.000 EPTATHLON I/O JM,peso,,Peso 6.000Kg,,Peso Kg 6.000
PENTATHLON I/O ALLIEVE,prove multiple,,prove multiple,,Pentathlon indoor AF
PENTATHLON I/O ALLIEVI,prove multiple,,prove multiple,,Pentathlon indoor AM
PENTATHLON I/O JPS DONNE,prove multiple,,prove multiple,,Pentathlon indoor F
EPTATHLON I/O PS UOMINI,prove multiple,,prove multiple,,Eptathlon indoor M
EPTATHLON I/O JUN UOMINI,prove multiple,,prove multiple,,Eptathlon indoor JM
Alto Donne,alto,,Salto in alto,,Salto in alto
Alto Uomini,alto,,Salto in alto,,Salto in alto
Asta Uomini,asta,,Salto con l'asta,,Salto con l’asta
60 piani Ragazze,corsa piana,,60m,,60m
Salto in lungo/LJ Ragazze,lungo,,Salto in lungo,,Salto in lungo
60 piani Ragazzi,corsa piana,,60m,,60m
Salto in lungo/LJ Ragazzi,lungo,,Salto in lungo,,Salto in lungo
40 metri Esordienti 6 M/F,corsa piana,,40m,,40m
40 metri Esordienti 8 Femminili,corsa piana,,40m,,40m
40 metri Esordienti 8 Maschili,corsa piana,,40m,,40m
40 Hs Esordienti 6 M/F,ostacoli,,40 Hs,non conosco l'altezza,40 Hs E
40 Hs Esordienti 8 Femminili,ostacoli,,40 Hs,non conosco l'altezza,40 Hs EF
40 Hs Esordienti 8 Maschili,ostacoli,,40 Hs,non conosco l'altezza,40 Hs EM
50 metri Esordienti 10 Femminili,corsa piana,,50m,,50m
50 metri Esordienti 10 Maschili,corsa piana,,50m,,50m
50 Hs Esordienti 10 Femminili,ostacoli,,50 Hs,non conosco l'altezza,50 Hs EF
50 Hs Esordienti 10 Maschili,ostacoli,,50 Hs,non conosco l'altezza,50 Hs EM
60 Hs Ragazze,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60 Hs Ragazzi,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60 Hs Cadette,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
60 Hs Cadetti,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 piani Allieve,corsa piana,,60m,,60m
60 piani Allievi,corsa piana,,60m,,60m
60 Hs Juniores M,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
RISULTATI COMPLESSIVI,altro,,altro,,altro
60 Hs H 76-8.00 Cadette,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
60 Hs H 84-8.50 Cadetti,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
1000 metri Tetrathlon Cadetti,corsa piana,,1000m,,1000m
60 Hs H 84-8.50 Tetrathlon Cadetti,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto/HJ Tetrathlon Cadetti,alto,,Salto in alto,,Salto in alto
Peso/SP Kg 4.000 Tetrathlon Cadetti,peso,,Peso 4.000Kg,,Peso Kg 4.000
400 metri Tetrathlon Cadette,corsa piana,,400m,,400m
60 Hs H 76-8.00 Tetrathlon Cadette,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
Salto in alto/HJ Tetrathlon Cadette,alto,,Salto in alto,,Salto in alto
Peso/SP Kg 3.000 Tetrathlon Cadette,peso,,Peso 3.000Kg,,Peso Kg 3.000
60 piani Triathlon Ragazzi,corsa piana,,60m,,60m
600 metri Triathlon Ragazzi,corsa piana,,600m,,600m
Salto in lungo/LJ Triathlon Ragazzi,lungo,,Salto in lungo,,Salto in lungo
60 piani Triathlon Ragazze,corsa piana,,60m,,60m
600 metri Triathlon Ragazze,corsa piana,,600m,,600m
Salto in lungo/LJ Triathlon Ragazze,lungo,,Salto in lungo,,Salto in lungo
TETRATHLON CADETTI,prove multiple,,prove multiple,,Tetrathlon indoor CM
TETRATHLON CADETTE,prove multiple,,prove multiple,,Tetrathlon indoor CF
TRIATHLON RAGAZZI,prove multiple,,prove multiple,,Triathlon indoor RM
TRIATHLON RAGAZZE,prove multiple,,prove multiple,,Triathlon indoor RF
Risultati completi,altro,,altro,,altro
Salto in lungo/LJ A/S Donne,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ Juniores Donne,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ Promesse Donne,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ A/S Uomini,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ Juniores Uomini,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ Promesse Uomini,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo Donne,lungo,,Salto in lungo,,Salto in lungo
Peso/SP Kg 3 Allieve,peso,,Peso 3.000Kg,,Peso Kg 3.000
Peso/SP Kg 4 Donne,peso,,Peso 4.000Kg,,Peso Kg 4.000
Peso/SP  Kg 7 Uomnini,peso,,Peso 7.260Kg,,Peso Kg 7.260
Peso/SP Kg 5 Allievi,peso,,Peso 5.000Kg,,Peso Kg 5.000
Peso/SP Kg 6 Junior M,peso,,Peso 6.000Kg,,Peso Kg 6.000
Salto in lungo/LJ Uomini,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ Donne,lungo,,Salto in lungo,,Salto in lungo
Tutti i risultati,altro,,altro,,altro
60 piani Jun Donne Finale,corsa piana,,60m,,60m
60 piani Promesse Donne Finale,corsa piana,,60m,,60m
60 piani A/S Donne Finale,corsa piana,,60m,,60m
60 Hs H 76-8.50 Allieve Finale,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
60 Hs H 84-8.50 Jun Donne Finale,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H 84-8.50 P/S Donne Finale,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto triplo/TJ A/S Donne,alto,,Salto in alto,,Salto triplo
Salto triplo/TJ J/P Donne,alto,,Salto in alto,,Salto triplo
60 piani Jun Uomini Finale,corsa piana,,60m,,60m
60 piani Promesse Uomini Finale,corsa piana,,60m,,60m
60 piani A/S Uomini Finale,corsa piana,,60m,,60m
60 Hs H 100 Jun Uomini Finale Diretta,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 Hs H 91-9.14 Allievi Finale,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
60 Hs H 106 P/S Uomini Finale,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 metri Allievi,corsa piana,,60m,,60m
60 Hs H91 Allievi,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
60 metri Allieve,corsa piana,,60m,,60m
60 Hs H76 Allieve,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
60 metri Juniores Uomini,corsa piana,,60m,,60m
60 Hs H100 Juniores Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 metri Juniores Donne,corsa piana,,60m,,60m
60 Hs H84 Juniores Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 metri P/S Uomini,corsa piana,,60m,,60m
60 Hs H106 P/S Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
Salto con l'asta P/S Uomini,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo P/S Uomini,lungo,,Salto in lungo,,Salto in lungo
60 metri P/S Donne,corsa piana,,60m,,60m
60 Hs H84 P/S Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto con l'asta P/S Donne,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo P/S Donne,lungo,,Salto in lungo,,Salto in lungo
Salto triplo P/S Donne,alto,,Salto in alto,,Salto triplo
30m piani Ragazzi,corsa piana,,30m,,30m
Salto in alto Ragazzi,alto,,Salto in alto,,Salto in alto
Peso Ragazzi,peso,,Peso,non conosco la massa,Peso Kg 2.000
30m piani Ragazze,corsa piana,,30m,,30m
Salto in alto Ragazze,alto,,Salto in alto,,Salto in alto
Peso Kg 2.000 Ragazze,peso,,Peso 2.000Kg,,Peso Kg 2.000
30 metri  RAGAZZE,corsa piana,,30m,,30m
Salto in alto  RAGAZZE,alto,,Salto in alto,,Salto in alto
Palla  RAGAZZE,palla,,palla,,Pallina
30 metri  RAGAZZI,corsa piana,,30m,,30m
Salto in alto  RAGAZZI,alto,,Salto in alto,,Salto in alto
Palla  RAGAZZI,palla,,palla,,Pallina
TRIATHLON Ragazze,prove multiple,,prove multiple,,Triathlon indoor RF
TRIATHLON Ragazzi,prove multiple,,prove multiple,,Triathlon indoor RM
Salto in alto/HJ Cadetti,alto,,Salto in alto,,Salto in alto
40 metri Cadetti,corsa piana,,40m,,40m
Salto in alto/HJ Cadette,alto,,Salto in alto,,Salto in alto
40 metri Cadette,corsa piana,,40m,,40m
40 ostacoli Ragazzi,ostacoli,,40 Hs,non conosco l'altezza,40 Hs h60-7.50
40 ostacoli Ragazze,ostacoli,,40 Hs,non conosco l'altezza,40 Hs h60-7.50
Peso/SP Kg 2.000 Esordienti Maschi 10,peso,,Peso 2.000Kg,,Peso Kg 2.000
40 ostacoli Esordienti Maschi 10,ostacoli,,40 Hs,non conosco l'altezza,40m
Salto in alto/HJ Esordienti Femmine 10,alto,,Salto in alto,,Salto in alto
40 ostacoli Esordienti Femmine 10,ostacoli,,40 Hs,non conosco l'altezza,40m
Salto in alto/HJ Esordienti Maschi 8,alto,,Salto in alto,,Salto in alto
40 metri Esordienti Maschi 8,corsa piana,,40m,,40m
Salto in alto/HJ Esordienti Femmine 8,alto,,Salto in alto,,Salto in alto
40 metri Esordienti Femmine 8,corsa piana,,40m,,40m
40 metri Esordienti Maschi 6,corsa piana,,40m,,40m
40 metri Esordienti Femmine 6,corsa piana,,40m,,40m
Salto in lungo/LJ J/P/S Donne,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ J/P/S Uomini,lungo,,Salto in lungo,,Salto in lungo
Salto con l'asta/PV Cadetti,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ Cadetti,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ Cadetti,alto,,Salto in alto,,Salto triplo
Salto con l'asta/PV Cadette,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ Cadette,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ Cadette,alto,,Salto in alto,,Salto triplo
60 Hs H 60 Ragazzi,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
Salto in alto/HJ Ragazzi,alto,,Salto in alto,,Salto in alto
60 Hs H 60 Ragazze,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
Cadette somma tempi,altro,,altro,,altro
Cadetti somma tempi,altro,,altro,,altro
Donne somma tempi,altro,,altro,,altro
Uomini somma tempi,altro,,altro,,altro
Salto in alto/HJ Allievi,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV Allievi,asta,,Salto con l'asta,,Salto con l’asta
Salto triplo/TJ Allievi,alto,,Salto in alto,,Salto triplo
Salto in alto/HJ Allieve,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV Allieve,asta,,Salto con l'asta,,Salto con l’asta
Salto triplo/TJ Allieve,alto,,Salto in alto,,Salto triplo
60 piani Juniores Uomini,corsa piana,,60m,,60m
Salto in alto/HJ Juniores Uomini,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV Juniores Uomini,asta,,Salto con l'asta,,Salto con l’asta
Salto triplo/TJ Juniores Uomini,alto,,Salto in alto,,Salto triplo
60 piani Juniores Donne,corsa piana,,60m,,60m
Salto in alto/HJ Juniores Donne,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV Juniores Donne,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ  Juniores Donne,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ Juniores Donne,alto,,Salto in alto,,Salto triplo
60 piani Promesse Uomini,corsa piana,,60m,,60m
60 Hs H 106  Promesse Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
Salto in alto/HJ Promesse Uomini,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV Promesse Uomini,asta,,Salto con l'asta,,Salto con l’asta
Salto triplo/TJ Promesse Uomini,alto,,Salto in alto,,Salto triplo
60 piani Promesse Donne,corsa piana,,60m,,60m
60 Hs H 84-8.50 Promesse Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto/HJ Promesse Donne,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV Promesse Donne,asta,,Salto con l'asta,,Salto con l’asta
Salto triplo/TJ Promesse Donne,alto,,Salto in alto,,Salto triplo
Marcia 3000 m Uomini,marcia,,Marcia 3000m,,Marcia 3000m
Marcia 3000 m Donne,marcia,,Marcia 3000m,,Marcia 3000m
1000 metri Cadetti,corsa piana,,1000m,,1000m
Marcia 2000 m Cadetti,marcia,,Marcia 2000m,,Marcia 2000m
1000 metri Cadette,corsa piana,,1000m,,1000m
Marcia 2000 m Cadette,marcia,,Marcia 2000m,,Marcia 2000m
1000 metri Ragazzi,corsa piana,,1000m,,1000m
Marcia 1000 m Ragazzi,marcia,,Marcia 1000m,,Marcia 1000m
1000 metri Ragazze,corsa piana,,1000m,,1000m
Marcia 1000 m Ragazze,marcia,,Marcia 1000m,,Marcia 1000m
Grand Prix Marcia Maschile (Rag+Cad) 1^ prova,marcia,'+' sus,Marcia,non conosco la distanza,altro
Grand Prix Marcia Femminile (Rag+Cad) 1^ prova,marcia,'+' sus,Marcia,non conosco la distanza,altro
60 Hs H 76-8.00 CF Cadette,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
60 Hs H 100 SM45,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
60 Hs H 76-8.00 CF,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
60 Hs H 84-8.50 CM,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
tutti i risultati,altro,,altro,,altro
60 piani Allievi Finale,corsa piana,,60m,,60m
Salto in lungo/LJ omini,lungo,,Salto in lungo,,Salto in lungo
60 piani Allieve Finale,corsa piana,,60m,,60m
30m Cadetti,corsa piana,,30m,,30m
Peso/SP Kg 3.000 Cadetti,peso,,Peso 3.000Kg,,Peso Kg 3.000
30m Cadette,corsa piana,,30m,,30m
Peso/SP Kg 2.000 Cadette,peso,,Peso 2.000Kg,,Peso Kg 2.000
TRIATHLON Cadetti,prove multiple,,prove multiple,,triathlon indoor CM
TRIATHLON Cadette,prove multiple,,prove multiple,,triathlon indoor CF
50 Hs H106 Uomini,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h106-9.14
50 Hs H84 Donne,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h84-8.50
60 piani Uomini Fisdir,corsa piana,,60m,,60m
60 piani Donne Fisdir,corsa piana,,60m,,60m
30 Hs RAGAZZI M,ostacoli,,30 Hs,non conosco l'altezza,30 Hs EM
Salto in alto RAGAZZI M,alto,,Salto in alto,,Salto in alto
30 Hs RAGAZZE F,ostacoli,,30 Hs,non conosco l'altezza,30 Hs EF
Salto in alto RAGAZZE F,alto,,Salto in alto,,Salto in alto
BIATHLON Ragazzi,prove multiple,,prove multiple,,Biathlon RM
BIATHLON Ragazze,prove multiple,,prove multiple,,Biathlon RF
Salto in alto/HJ Triathlon Ragazzi,alto,,Salto in alto,,Salto in alto
Peso/SP Kg 2.000 Triathlon Ragazzi,peso,,Peso 2.000Kg,,Peso Kg 2.000
Salto in alto/HJ Triathlon Ragazze,alto,,Salto in alto,,Salto in alto
Peso/SP Kg 2.000 Triathlon Ragazze,peso,,Peso 2.000Kg,,Peso Kg 2.000
40 metri Biathlon EM10,corsa piana,,40m,,40m
Salto in lungo/LJ Biathlon EM10,lungo,,Salto in lungo,,Salto in lungo
40 metri Biathlon EF10,corsa piana,,40m,,40m
Salto in Lungo/LJ Biathlon EF10,lungo,,Salto in lungo,,Salto in lungo
40 metri Biathlon EM8,corsa piana,,40m,,40m
Salto in lungo/LJ Biathlon EM8,lungo,,Salto in lungo,,Salto in lungo
40 metri Biathlon EF8,corsa piana,,40m,,40m
Salto in lungo/LJ Biathlon EF8,lungo,,Salto in lungo,,Salto in lungo
40 metri Biathlon EM6,corsa piana,,40m,,40m
Salto in lungo/LJ Biathlon EM6,lungo,,Salto in lungo,,Salto in lungo
40 metri Biathlon EF6,corsa piana,,40m,,40m
Salto in lungo/LJ  Biathlon EF6,lungo,,Salto in lungo,,Salto in lungo
BIATHLON ESORDIENTI MASCHI 10,prove multiple,PM sus,prove multiple,,Biathlon EM
BIATHLON ESORDIENTI FEMMINE 10,prove multiple,PM sus,prove multiple,,Biathlon EF
BIATHLON ESORDIENTI MASCHI 8,prove multiple,PM sus,prove multiple,,Biathlon EM
BIATHLON ESORDIENTI FEMMINE 8,prove multiple,PM sus,prove multiple,,Biathlon EF
BIATHLON ESORDIENTI MASCHI 6,prove multiple,PM sus,prove multiple,,Biathlon EM
BIATHLON ESORDIENTI FEMMINE 6,prove multiple,PM sus,prove multiple,,Biathlon EF
Peso/SP Kg 4.000 Cadetti,peso,,Peso 4.000Kg,,Peso Kg 4.000
Peso/SP Kg 3.000 Cadette,peso,,Peso 3.000Kg,,Peso Kg 3.000
60 piani Cadette Finale,corsa piana,,60m,,60m
60 Hs H 76-8.00 Cadette Finale,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
60 piani Cadetti Finale,corsa piana,,60m,,60m
60 Hs H 84-8.50 Cadetti Finale,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in lungo/LJ F Fispes,lungo,,Salto in lungo,,Salto in lungo
60 piani F/M Fispes,corsa piana,,60m,,60m
40 ostacoli Cadetti,ostacoli,,40 Hs,non conosco l'altezza,40 Hs h84-8.50
40 ostacoli Cadette,ostacoli,,40 Hs,non conosco l'altezza,40 Hs h76-8.00
40 metri Ragazzi,corsa piana,,40m,,40m
Salto in alto/HJ Ragazze,alto,,Salto in alto,,Salto in alto
40 metri Ragazze,corsa piana,,40m,,40m
Salto in alto/HJ Esordienti Maschi 10,alto,,Salto in alto,,Salto in alto
40 metri Esordienti Maschi 10,corsa piana,,40m,,40m
Peso/SP Kg 2.000 Esordienti Femmine 10,peso,,Peso 2.000Kg,,Peso Kg 2.000
40 metri Esordienti Femmine 10,corsa piana,,40m,,40m
Peso/SP Kg 1.000 Esordienti Maschi 8,peso,,Peso 1.000Kg,,peso Kg 1.000
Peso/SP Kg 1.000 Esordienti Femmine 8,peso,,Peso 1.000Kg,,peso Kg 1.000
50 metri BIATHLON EF10,corsa piana,,50m,,50m
50 Hs H50 EF 10 BIATHLON,ostacoli,,50 Hs,non conosco l'altezza,50 Hs EF
50 metri BIATHLON EM10,corsa piana,,50m,,50m
50 Hs H50 EM 10 BIATHLON,ostacoli,,50 Hs,non conosco l'altezza,50 Hs EM
60 piani BIATHLON RF,corsa piana,,60m,,60m
60 Hs H 60 BIATHLON RF,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60 piani BIATHLON RM,corsa piana,,60m,,60m
60 Hs H 60 BIATHLON RM,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
BIATHLON EF10,prove multiple,PM sus,prove multiple,,Biathlon EF
BIATHLON EM10,prove multiple,PM sus,prove multiple,,Biathlon EM
Classifica per Regioni,altro,,altro,,altro
60 Hs- 5 hs H 60 Ragazzi,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60 Hs- 5 hs H 60 Ragazze,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
50 metri Esordienti Maschi 10,corsa piana,,50m,,50m
50 metri Esordienti Femmine 10,corsa piana,,50m,,50m
60 piani Master Uomini,corsa piana,,60m,,60m
50 metri Esordienti Maschi 8,corsa piana,,50m,,50m
60 piani Master Donne,corsa piana,,60m,,60m
50 metri Esordienti Femmine 8,corsa piana,,50m,,50m
50 metri Esordienti Maschi 6,corsa piana,,50m,,50m
50 metri Esordienti Femmine 6,corsa piana,,50m,,50m
60 piani EM10,corsa piana,,60m,,60m
60 piani EF10,corsa piana,,60m,,60m
60 metri EM8,corsa piana,,60m,,60m
60 piani EF8,corsa piana,,60m,,60m
60 piani EM6,corsa piana,,60m,,60m
60 piani EF6,corsa piana,,60m,,60m
Salto in alto/HJ EM10,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ EM8,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ EM6,lungo,,Salto in lungo,,Salto in lungo
50 metri EM10,corsa piana,,50m,,50m
50 metri EM8,corsa piana,,50m,,50m
50 metri EM6,corsa piana,,50m,,50m
Salto in alto/HJ EF10,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ EF8,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ EF6,lungo,,Salto in lungo,,Salto in lungo
50 metri EF10,corsa piana,,50m,,50m
50 metri EF8,corsa piana,,50m,,50m
50 metri EF6,corsa piana,,50m,,50m
Salto in alto/HJ Esordienti F 10,alto,,Salto in alto,,Salto in alto
Salto in alto/HJ Esordienti M 10,alto,,Salto in alto,,Salto in alto
Risultati Totali,altro,,altro,,altro
60 Hs H 76-8.00 CF - FINALE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
50 Hs H50 Esordienti M10,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h50-7.00
50m Esordienti M10,corsa piana,,50m,,50m
50 Hs H50 Esordienti F10,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h50-7.00
50m Esordienti F10,corsa piana,,50m,,50m
60m Ragazzi,corsa piana,,60m,,60m
60m Ragazze,corsa piana,,60m,,60m
60m Cadetti,corsa piana,,60m,,60m
60m Cadette,corsa piana,,60m,,60m
Risultati complessivi,altro,,altro,,altro
Statistica partecipanti,altro,,altro,,altro
50 Hs H91 Allievi,ostacoli,,50 Hs,non conosco l'altezza,60 Hs h91-9.14
50 Hs H76 Allieve,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h76-8.50
Salto in lungo Ragazzi,lungo,,Salto in lungo,,Salto in lungo
Salto triplo Cadetti,alto,,Salto in alto,,Salto triplo
Tutti i risultati in un click,altro,,altro,,altro
60m A/J/P/S MASCHILI,corsa piana,,60m,,60m
60 Hs H 106 P/S MASCHILI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60m A/J/P/S FEMMINILI,corsa piana,,60m,,60m
60 Hs H 84-8.50 J/P/S FEMMINILI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H 100 JUNIORES MASCHILI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
200m UOMINI,corsa piana,,200m,,200m
800m UOMINI,corsa piana,,800m,,800m
60 Hs H 100 JUNIORES M,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
200m DONNE,corsa piana,,200m,,200m
800m DONNE,corsa piana,,800m,,800m
60m - RAGAZZI,corsa piana,,60m,,60m
60 Hs H 60 - RAGAZZI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60m - RAGAZZE,corsa piana,,60m,,60m
60 Hs H 60 - RAGAZZE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
Salto Quadruplo - RAGAZZI,alto,,Salto in alto,,Salto quadruplo
Salto Quadruplo - RAGAZZE,alto,,Salto in alto,,Salto quadruplo
1000m CADETTI,corsa piana,,1000m,,1000m
1000m  CADETTE,corsa piana,,1000m,,1000m
600m RAGAZZI,corsa piana,,600m,,600m
600m RAGAZZE,corsa piana,,600m,,600m
1000m - ALLIEVI,corsa piana,,1000m,,1000m
60 Hs H 91-9.14 - ALLIEVI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
800m - ALLIEVE,corsa piana,,800m,,800m
60 Hs H 76-8.50 - ALLIEVE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
800m - JUNIORES F,corsa piana,,800m,,800m
60 Hs H 84-8.50 - JUNIORES F,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto - ALLIEVI,alto,,Salto in alto,,Salto in alto
Salto in lungo - ALLIEVI,lungo,,Salto in lungo,,Salto in lungo
Salto in alto - ALLIEVE,alto,,Salto in alto,,Salto in alto
Salto in lungo - ALLIEVE,lungo,,Salto in lungo,,Salto in lungo
Salto in alto - JUNIORES F,alto,,Salto in alto,,Salto in alto
Salto in lungo - JUNIORES F,lungo,,Salto in lungo,,Salto in lungo
60m UOMINI,corsa piana,,60m,,60m
400m UOMINI,corsa piana,,400m,,400m
1500m UOMINI,corsa piana,,1500m,,1500m
60m DONNE,corsa piana,,60m,,60m
400m DONNE,corsa piana,,400m,,400m
1500m DONNE,corsa piana,,1500m,,1500m
800 metri PENTATHLON ALLIEVE,corsa piana,,800m,,800m
Salto con l'asta  DONNE - 1 gruppo,asta,,Salto con l'asta,,Salto con l’asta
Salto con l'asta  DONNE - 2 gruppo,asta,,Salto con l'asta,,Salto con l’asta
Marcia 1000m ESORDIENTI A+B F,marcia,,Marcia 1000m,,Marcia 1000m
Marcia 1000m ESO A+B M,marcia,,Marcia 1000m,,Marcia 1000m
Salto in lungo RAGAZZE,lungo,,Salto in lungo,,Salto in lungo
3000m UOMINI,corsa piana,,3000m,,3000m
3000m DONNE,corsa piana,,3000m,,3000m
60m CADETTI,corsa piana,,60m,,60m
200m CADETTI,corsa piana,,200m,,200m
60m CADETTE,corsa piana,,60m,,60m
200m CADETTE,corsa piana,,200m,,200m
60m RAGAZZI,corsa piana,,60m,,60m
200m RAGAZZI,corsa piana,,200m,,200m
60m RAGAZZE,corsa piana,,60m,,60m
200m RAGAZZE,corsa piana,,200m,,200m
60 piani P/S Uomini,corsa piana,,60m,,60m
60 piani P/S Donne,corsa piana,,60m,,60m
60 Hs H 84-8.50 P/S Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto Cadetti,alto,,Salto in alto,,Salto in alto
Salto con l'asta Cadetti,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo Cadetti,lungo,,Salto in lungo,,Salto in lungo
Salto in alto Cadette,alto,,Salto in alto,,Salto in alto
Salto con l'asta Cadette,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo Cadette,lungo,,Salto in lungo,,Salto in lungo
Salto triplo Cadette,alto,,Salto in alto,,Salto triplo
Salto in alto P/S Uomini,alto,,Salto in alto,,Salto in alto
Salto triplo P/S Uomini,alto,,Salto in alto,,Salto triplo
Salto in alto P/S Donne,alto,,Salto in alto,,Salto in alto
Salto con l'asta  UOMINI - 1 Gruppo,asta,,Salto con l'asta,,Salto con l’asta
Salto con l'asta  UOMINI - 2 Gruppo,asta,,Salto con l'asta,,Salto con l’asta
800m ALLIEVE PENTATHLON,corsa piana,,800m,,800m
60 Hs H 76-8.50 ALLIEVE PENTATHLON,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
800m J/P/S FEMMINILI PENTATHLON,corsa piana,,800m,,800m
60 Hs H 84-8.50 J/P/S FEMMINILI PENTATH.,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
1000m ALLIEVI PENTATHLON,corsa piana,,1000m,,1000m
60 Hs H 91-9.14 ALLIEVI PENTATHLON,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
60m JUNIOR MASCHILI EPTATHLON,corsa piana,,60m,,60m
1000m JUNIOR MASCHILI EPTATHLON,corsa piana,,1000m,,1000m
